Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,YearsInCurrentRole
0.4463504035345031,Yes,2,2,1,1,0,0.3796721288811475,7,2,-0.10834951351067117,1,-1.1505541015749308,-1.584178240646517,-2.4938204216722384,-0.063295899399149
1.3223652142096962,No,1,1,0,1,1,-1.0261667362455194,6,1,-0.29171858995657424,0,2.1293060069870897,1.1914379855160337,0.33809616377248186,0.7649976209279952
0.008342998196906572,Yes,2,1,1,4,1,-1.0261667362455194,2,2,-0.9376536912260358,1,-0.057267398720923963,-0.6589728319256667,0.33809616377248186,-1.1676872598353414
-0.42966440714069,No,1,1,3,1,0,0.3796721288811475,6,1,-0.7636336754564013,1,-1.1505541015749308,0.26623257679518353,0.33809616377248186,0.7649976209279952
-1.0866755151470848,No,2,1,0,3,1,0.3796721288811475,2,1,-0.6448581091374443,0,-0.8772324258614291,1.1914379855160337,0.33809616377248186,-0.6154915796172451
-0.5391662584750891,No,1,1,1,1,1,0.3796721288811475,2,2,-0.7298495698307945,0,-0.6039107501479274,0.26623257679518353,-1.0778621289498782,0.7649976209279952
2.4173837275536876,No,2,1,2,3,0,1.7855109940078144,2,1,-0.814416073220678,1,1.3093409798465847,-1.584178240646517,-1.0778621289498782,-1.1676872598353414
-0.7581699611438873,No,2,1,0,1,1,0.3796721288811475,2,0,-0.8095290642308104,0,1.855984331273588,-0.6589728319256667,0.33809616377248186,-1.1676872598353414
0.11784484953130571,No,1,1,2,1,1,-1.0261667362455194,4,2,0.6423375630633446,0,1.5826626555600865,-0.6589728319256667,0.33809616377248186,0.7649976209279952
-0.10115885313749257,No,2,1,2,3,1,0.3796721288811475,0,1,-0.2689833742211031,0,-0.6039107501479274,-0.6589728319256667,-1.0778621289498782,0.7649976209279952
-0.2106607044718917,No,2,1,2,3,1,1.7855109940078144,2,1,-0.8662608642436216,0,-0.6039107501479274,0.26623257679518353,0.33809616377248186,-0.063295899399149
-0.8676718124782865,No,2,1,1,1,0,-1.0261667362455194,2,2,-0.4908110866307471,1,-0.8772324258614291,1.1914379855160337,0.33809616377248186,0.21280194070989908
